id,label
20800,0
20801,0
20802,1
20803,1
20804,1
20805,0
20806,0
20807,0
20808,0
20809,0
20810,1
20811,1
20812,1
20813,0
20814,0
20815,0
20816,1
20817,0
20818,0
20819,0
20820,0
20821,1
20822,0
20823,1
20824,0
20825,0
20826,0
20827,0
20828,0
20829,0
20830,0
20831,1
20832,1
20833,0
20834,0
20835,0
20836,1
20837,0
20838,0
20839,0
20840,0
20841,0
20842,0
20843,1
20844,0
20845,1
20846,1
20847,0
20848,1
20849,0
20850,0
20851,1
20852,0
20853,1
20854,0
20855,0
20856,1
20857,1
20858,0
20859,1
20860,1
20861,1
20862,0
20863,0
20864,0
20865,0
20866,1
20867,0
20868,0
20869,0
20870,0
20871,1
20872,1
20873,0
20874,0
20875,1
20876,0
20877,1
20878,0
20879,0
20880,1
20881,0
20882,1
20883,0
20884,0
20885,0
20886,0
20887,0
20888,1
20889,0
20890,0
20891,1
20892,0
20893,1
20894,0
20895,0
20896,0
20897,0
20898,1
20899,1
20900,0
20901,1
20902,0
20903,0
20904,0
20905,0
20906,0
20907,1
20908,1
20909,0
20910,1
20911,1
20912,0
20913,0
20914,0
20915,0
20916,1
20917,0
20918,0
20919,0
20920,1
20921,0
20922,1
20923,1
20924,1
20925,1
20926,1
20927,0
20928,0
20929,0
20930,1
20931,1
20932,0
20933,0
20934,0
20935,0
20936,1
20937,0
20938,0
20939,1
20940,0
20941,1
20942,1
20943,1
20944,1
20945,0
20946,0
20947,0
20948,0
20949,1
20950,0
20951,1
20952,1
20953,0
20954,0
20955,1
20956,1
20957,0
20958,0
20959,0
20960,0
20961,1
20962,0
20963,0
20964,0
20965,1
20966,1
20967,0
20968,1
20969,1
20970,1
20971,1
20972,0
20973,0
20974,1
20975,0
20976,1
20977,0
20978,0
20979,1
20980,0
20981,1
20982,0
20983,1
20984,0
20985,1
20986,1
20987,0
20988,0
20989,0
20990,0
20991,1
20992,0
20993,0
20994,0
20995,0
20996,0
20997,1
20998,0
20999,0
21000,1
21001,0
21002,0
21003,1
21004,1
21005,0
21006,0
21007,1
21008,0
21009,0
21010,0
21011,0
21012,0
21013,1
21014,0
21015,0
21016,0
21017,1
21018,0
21019,0
21020,1
21021,0
21022,0
21023,1
21024,1
21025,0
21026,0
21027,0
21028,0
21029,1
21030,1
21031,0
21032,0
21033,0
21034,0
21035,0
21036,1
21037,0
21038,0
21039,1
21040,1
21041,1
21042,1
21043,0
21044,1
